title,originallink,link,description,pubDate
2000년 유행한 청바지가 키키 때문에 다시 뜹니다,https://www.elle.co.kr/article/1896793,https://www.elle.co.kr/article/1896793,@chlojl_ @fbethanny 후드 집업이나 트레이닝 바지처럼 편안한 아이템을 전면에 내세우는 접근 역시 키키 버전 <b>Y2K</b>의 중요한 축입니다. 몸에 밀착되거나 느슨하게 흐르는 실루엣 위에 라지 프레임 <b>선글라스</b>를 더해... ,"Sat, 07 Feb 2026 22:20:00 +0900"
<b>Y2K</b> 패션 트렌드 컴백! 웨지 스니커즈·벨벳 추리닝 다시 유행,https://www.harpersbazaar.co.kr/article/1896610,https://www.harpersbazaar.co.kr/article/1896610,"10초 안에 보는 요약 기사 <b>Y2K</b> 패션 아이템이 Z세대의 마음까지 사로잡았다! 웨지 스니커즈부터 벨벳... 2000년대, 케이트 모스가 미니 드레스와 퍼, <b>선글라스</b>에 매치하며 보헤미안 시크의 상징으로 끌어올렸다. 특히... ","Tue, 03 Feb 2026 18:46:00 +0900"
"<b>Y2K</b> 틴티드 <b>선글라스</b>, 2025년 봄을 지배하다",https://www.chosun.com/special/boutique/boutique-fashion/2025/03/31/3FE75MRH5FF43HS3HLPZ4ECEGM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003896603?sid=103,"틴티드 <b>선글라스</b>는 <b>Y2K</b> 시대가 남긴 과감한 아름다움에 대한 그리움인 동시에 2025년의 세련된 감성으로 다시 재해석된 패션을 완성시키는 콜라주다. 자신의 스타일에 컬러를 입히고 싶다면? 이번 봄, 당신의 눈 위에... ","Mon, 31 Mar 2025 06:01:00 +0900"
내 눈에 헤리티지 <b>선글라스</b>,https://www.allurekorea.com/2025/06/12/%eb%82%b4-%eb%88%88%ec%97%90-%ed%97%a4%eb%a6%ac%ed%8b%b0%ec%a7%80-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4/?utm_source=naver&utm_medium=partnership,https://www.allurekorea.com/2025/06/12/%eb%82%b4-%eb%88%88%ec%97%90-%ed%97%a4%eb%a6%ac%ed%8b%b0%ec%a7%80-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4/?utm_source=naver&utm_medium=partnership,"볼드한 로고와 핫 핑크 컬러의 조화, <b>Y2K</b> 하이퍼 감성이 두드러지는 <b>선글라스</b>는 63만5천원. 발렌시아가(Balenciaga). 입체적 플라워 디테일과 골드 메탈의 유려한 곡선 등 브랜드 특유의 장식적 실험 정신이... ","Thu, 12 Jun 2025 08:02:00 +0900"
"제니, LA도 만트라 홀릭! <b>Y2K</b> 꽉 잡은 <b>선글라스</b>+크롭 재킷 힙시크 카고팬...",https://www.mk.co.kr/article/11142254,https://m.entertain.naver.com/article/410/0001030049,특히 제니는 <b>선글라스</b>를 착용해 스타일리시한 포인트를 더했다. <b>선글라스</b> 하나로 완성된 그녀의 시크한 무드는 많은 이들의 관심을 집중시켰다. 제니는 편안한 분위기 속에서도 자신감 넘치는 포즈를 취하며 스트리트... ,"Thu, 17 Oct 2024 07:41:00 +0900"
K팝 최초 그래미 수상…'케데헌' 속 패션 공식은 [최혜련의 패션의 문장...,https://www.hankyung.com/article/202508114023i,https://n.news.naver.com/mnews/article/015/0005246299?sid=103,"은색 재킷과 둥글게 생긴 고글 <b>선글라스</b>, 실루엣, 금속 광택, 네온 컬러, 유선형 장식 등은 모두 이... <b>Y2K</b>, 사라지지 않는 밀레니엄의 감성 이와 함께 다시 떠오른 유행이 있다. 바로 '<b>Y2K</b> 스타일'이다. 2000년대 초 유행했던... ","Tue, 03 Feb 2026 17:23:00 +0900"
"이미주, 암 워머+고글 <b>선글라스</b>…상큼한 <b>Y2K</b>감성 패션",http://moneys.mt.co.kr/news/mwView.php?no=2023121210375444060,https://m.entertain.naver.com/article/417/0000968381,"이날 이미주는 화이트 슬리브리스 톱에 데님 오버롤 팬츠를 입고, 여기에 포근한 니트 암 워머와 스포티한 고글 <b>선글라스</b>, 별 팬던트 목걸이 등을 착용해 <b>Y2K</b> 감성이 충만한 패션을 완성했다. 특히 그녀는 물오른 미모를... ","Tue, 12 Dec 2023 11:26:00 +0900"
"뉴진스, <b>Y2K</b> 감성 <b>선글라스</b> 화보",https://www.mk.co.kr/article/10695282,https://m.entertain.naver.com/article/009/0005106226,4세대 대표 아이돌로 우뚝 선 뉴진스는 <b>Y2K</b> 복고 패션 붐을 몰고온데 이어 <b>선글라스</b> 화보에서도 복고 감성을 물씬 풍기며 유행 디자인을 보여준다. 카린은 야외 활동이 본격화되는 봄 시즌을 겨냥해 화사한 컬러의... ,"Fri, 24 Mar 2023 09:42:00 +0900"
Z세대의 감각적 스타일링을 위한 ‘7가지 포인트’ 법칙,https://www.vogue.co.kr/2025/05/16/z%ec%84%b8%eb%8c%80%ec%9d%98-%ea%b0%90%ea%b0%81%ec%a0%81-%ec%8a%a4%ed%83%80%ec%9d%bc%eb%a7%81%ec%9d%84-%ec%9c%84%ed%95%9c-7%ea%b0%80%ec%a7%80-%ed%8f%ac%ec%9d%b8%ed%8a%b8-%eb%b2%95/?utm_source=naver&utm_medium=partnership,https://www.vogue.co.kr/2025/05/16/z%ec%84%b8%eb%8c%80%ec%9d%98-%ea%b0%90%ea%b0%81%ec%a0%81-%ec%8a%a4%ed%83%80%ec%9d%bc%eb%a7%81%ec%9d%84-%ec%9c%84%ed%95%9c-7%ea%b0%80%ec%a7%80-%ed%8f%ac%ec%9d%b8%ed%8a%b8-%eb%b2%95/?utm_source=naver&utm_medium=partnership,"여기에 와이드 벨트와 바이커 부츠, 그리고 큼지막한 백과 <b>선글라스</b>를 더하면 완벽한 <b>Y2K</b> 무드의 7가지 포인트 룩이 연출됩니다. <b>Y2K</b> 무드를 위해서는 특히 <b>선글라스</b>가 중요하다는 것 잊지 마세요! 매니시 룩 빈티지를... ","Fri, 16 May 2025 13:12:00 +0900"
"카린, '뉴진스' <b>Y2K</b>감성 <b>선글라스</b> 화보 공개",http://www.enewstoday.co.kr/news/articleView.html?idxno=1648312,http://www.enewstoday.co.kr/news/articleView.html?idxno=1648312,이번 화보에서는 다채로운 컬러의 <b>선글라스</b>를 착용한 뉴진스 멤버들이 각기 다양한 포즈와 함께 레트로... [사진=카린] 카린은 야외 활동이 본격화되는 봄 시즌을 겨냥하여 화사한 컬러의 틴트 <b>선글라스</b> 라인을 선보인다.... ,"Fri, 24 Mar 2023 13:47:00 +0900"
"힙해진 박보검, <b>Y2K</b> 즐기나..<b>선글라스</b> 뒤로 써도 '그저 잘생김'",https://www.starnewskorea.com/stview.php?no=2023061018144144549,https://m.entertain.naver.com/article/108/0003158572,"박보검은 <b>선글라스</b>를 머리 뒤로 쓰는가 하면, 화려한 그림이 그려진 퍼 카디건을 입고 개성 넘치는 패션센스를 보여줬다. 그는 완벽한 비주얼로 이 모든 걸 소화하며 감탄을 자아냈다. 한편 박보검은 최근... ","Sat, 10 Jun 2023 18:36:00 +0900"
"임영웅, 90년대 가수 했어도 잘 나갔을 듯..<b>Y2K</b> 패션 '파장'",https://www.starnewskorea.com/stview.php?no=2024050610422513756,https://m.entertain.naver.com/article/108/0003233395,그는 짧게 자른 머리와 <b>선글라스</b>를 착용해 <b>Y2K</b> 스타일을 선보였다. 게시물을 본 트로트 가수 신인선은 &quot;너가 가면 한국도 외국 같어~&quot;라며 엄지를 든 이모티콘을 댓글로 적었다. 영웅시대 팬들도 &quot;반전매력남 다른... ,"Mon, 06 May 2024 10:53:00 +0900"
"'<b>Y2K</b> 타고 범용화' 레오파드 잡화, 트렌드 아이템 부상",https://www.fashionbiz.co.kr/article/221198,https://www.fashionbiz.co.kr/article/221198,"<b>Y2K</b> 감성의 복고 트렌드를 일상에서 가볍게 즐기는 흐름이 이어지면서, 레오파드는 과한 개성보다는 분위기를... 이 외에도 헤어 밴드, 핀, 클립, <b>선글라스</b> 등 스타일에 포인트를 줄 수 있는 헤어 액세서리와 아이웨어... ","Fri, 07 Nov 2025 13:46:00 +0900"
